Dataset,Setting,Model,True,Predicted,Count,Share_of_errors,N_errors,N
senti,few_shot,llama32-3B,negative,positive,142,0.2088235294117647,680,1586
senti,few_shot,llama32-3B,neutral,negative,97,0.1426470588235294,680,1586
senti,few_shot,llama32-3B,neutral,positive,118,0.17352941176470588,680,1586
senti,few_shot,llama32-3B,positive,negative,86,0.1264705882352941,680,1586
senti,few_shot,llama32-3B,positive,neutral,128,0.18823529411764706,680,1586
senti,few_shot,mistral-7B,negative,neutral,271,0.3280871670702179,826,1586
senti,few_shot,mistral-7B,negative,positive,73,0.08837772397094432,826,1586
senti,few_shot,mistral-7B,neutral,negative,74,0.08958837772397095,826,1586
senti,few_shot,mistral-7B,neutral,positive,63,0.07627118644067797,826,1586
senti,few_shot,mistral-7B,positive,negative,56,0.06779661016949153,826,1586
senti,few_shot,mistral-7B,positive,neutral,289,0.3498789346246973,826,1586
senti,few_shot,deepseek-8B,negative,neutral,168,0.21455938697318008,783,1586
senti,few_shot,deepseek-8B,negative,positive,88,0.1123882503192848,783,1586
senti,few_shot,deepseek-8B,neutral,negative,124,0.1583652618135377,783,1586
senti,few_shot,deepseek-8B,neutral,positive,80,0.10217113665389528,783,1586
senti,few_shot,deepseek-8B,positive,negative,129,0.16475095785440613,783,1586
senti,few_shot,deepseek-8B,positive,neutral,194,0.24776500638569604,783,1586
senti,few_shot,phi4-14B,negative,neutral,106,0.16036308623298035,661,1586
senti,few_shot,phi4-14B,negative,positive,30,0.0453857791225416,661,1586
senti,few_shot,phi4-14B,neutral,negative,160,0.24205748865355523,661,1586
senti,few_shot,phi4-14B,neutral,positive,32,0.048411497730711045,661,1586
senti,few_shot,phi4-14B,positive,negative,128,0.19364599092284418,661,1586
senti,few_shot,phi4-14B,positive,neutral,205,0.3101361573373676,661,1586
senti,few_shot,gemma2-27B,negative,neutral,86,0.1447811447811448,594,1586
senti,few_shot,gemma2-27B,negative,positive,23,0.03872053872053872,594,1586
senti,few_shot,gemma2-27B,neutral,negative,140,0.2356902356902357,594,1586
senti,few_shot,gemma2-27B,neutral,positive,32,0.05387205387205387,594,1586
senti,few_shot,gemma2-27B,positive,negative,106,0.17845117845117844,594,1586
senti,few_shot,gemma2-27B,positive,neutral,207,0.3484848484848485,594,1586
senti,few_shot,qwen-72B,negative,neutral,124,0.19682539682539682,630,1586
senti,few_shot,qwen-72B,negative,positive,18,0.02857142857142857,630,1586
senti,few_shot,qwen-72B,neutral,negative,137,0.21746031746031746,630,1586
senti,few_shot,qwen-72B,neutral,positive,36,0.05714285714285714,630,1586
senti,few_shot,qwen-72B,positive,negative,101,0.16031746031746033,630,1586
senti,few_shot,qwen-72B,positive,neutral,214,0.3396825396825397,630,1586
emo,zero_shot,llama32-3B,anger,disgust,10,0.02976190476190476,336,625
emo,zero_shot,llama32-3B,anger,fear,2,0.005952380952380952,336,625
emo,zero_shot,llama32-3B,anger,joy,4,0.011904761904761904,336,625
emo,zero_shot,llama32-3B,anger,sadness,4,0.011904761904761904,336,625
emo,zero_shot,llama32-3B,anger,surprise,1,0.002976190476190476,336,625
emo,zero_shot,llama32-3B,disgust,anger,85,0.25297619047619047,336,625
emo,zero_shot,llama32-3B,disgust,fear,6,0.017857142857142856,336,625
emo,zero_shot,llama32-3B,disgust,joy,15,0.044642857142857144,336,625
emo,zero_shot,llama32-3B,disgust,sadness,28,0.08333333333333333,336,625
emo,zero_shot,llama32-3B,disgust,surprise,6,0.017857142857142856,336,625
emo,zero_shot,llama32-3B,fear,anger,8,0.023809523809523808,336,625
emo,zero_shot,llama32-3B,fear,disgust,6,0.017857142857142856,336,625
emo,zero_shot,llama32-3B,fear,joy,4,0.011904761904761904,336,625
emo,zero_shot,llama32-3B,fear,sadness,14,0.041666666666666664,336,625
emo,zero_shot,llama32-3B,fear,surprise,3,0.008928571428571428,336,625
emo,zero_shot,llama32-3B,joy,anger,4,0.011904761904761904,336,625
emo,zero_shot,llama32-3B,joy,disgust,6,0.017857142857142856,336,625
emo,zero_shot,llama32-3B,joy,fear,2,0.005952380952380952,336,625
emo,zero_shot,llama32-3B,joy,sadness,14,0.041666666666666664,336,625
emo,zero_shot,llama32-3B,joy,surprise,1,0.002976190476190476,336,625
emo,zero_shot,llama32-3B,sadness,anger,26,0.07738095238095238,336,625
emo,zero_shot,llama32-3B,sadness,disgust,12,0.03571428571428571,336,625
emo,zero_shot,llama32-3B,sadness,fear,10,0.02976190476190476,336,625
emo,zero_shot,llama32-3B,sadness,joy,8,0.023809523809523808,336,625
emo,zero_shot,llama32-3B,sadness,surprise,3,0.008928571428571428,336,625
emo,zero_shot,llama32-3B,surprise,anger,13,0.03869047619047619,336,625
emo,zero_shot,llama32-3B,surprise,disgust,5,0.01488095238095238,336,625
emo,zero_shot,llama32-3B,surprise,fear,4,0.011904761904761904,336,625
emo,zero_shot,llama32-3B,surprise,joy,21,0.0625,336,625
emo,zero_shot,llama32-3B,surprise,sadness,11,0.03273809523809524,336,625
emo,zero_shot,mistral-7B,anger,fear,2,0.005076142131979695,394,625
emo,zero_shot,mistral-7B,anger,sadness,7,0.017766497461928935,394,625
emo,zero_shot,mistral-7B,anger,surprise,1,0.0025380710659898475,394,625
emo,zero_shot,mistral-7B,disgust,anger,116,0.29441624365482233,394,625
emo,zero_shot,mistral-7B,disgust,fear,7,0.017766497461928935,394,625
emo,zero_shot,mistral-7B,disgust,joy,2,0.005076142131979695,394,625
emo,zero_shot,mistral-7B,disgust,sadness,35,0.08883248730964467,394,625
emo,zero_shot,mistral-7B,disgust,surprise,1,0.0025380710659898475,394,625
emo,zero_shot,mistral-7B,fear,anger,18,0.04568527918781726,394,625
emo,zero_shot,mistral-7B,fear,disgust,2,0.005076142131979695,394,625
emo,zero_shot,mistral-7B,fear,sadness,12,0.030456852791878174,394,625
emo,zero_shot,mistral-7B,joy,anger,41,0.10406091370558376,394,625
emo,zero_shot,mistral-7B,joy,disgust,7,0.017766497461928935,394,625
emo,zero_shot,mistral-7B,joy,fear,3,0.007614213197969543,394,625
emo,zero_shot,mistral-7B,joy,sadness,15,0.03807106598984772,394,625
emo,zero_shot,mistral-7B,sadness,anger,43,0.10913705583756345,394,625
emo,zero_shot,mistral-7B,sadness,disgust,5,0.012690355329949238,394,625
emo,zero_shot,mistral-7B,sadness,fear,10,0.025380710659898477,394,625
emo,zero_shot,mistral-7B,sadness,joy,1,0.0025380710659898475,394,625
emo,zero_shot,mistral-7B,surprise,anger,32,0.08121827411167512,394,625
emo,zero_shot,mistral-7B,surprise,disgust,1,0.0025380710659898475,394,625
emo,zero_shot,mistral-7B,surprise,fear,13,0.03299492385786802,394,625
emo,zero_shot,mistral-7B,surprise,joy,1,0.0025380710659898475,394,625
emo,zero_shot,mistral-7B,surprise,sadness,19,0.048223350253807105,394,625
emo,zero_shot,deepseek-8B,anger,disgust,12,0.03550295857988166,338,625
emo,zero_shot,deepseek-8B,anger,fear,2,0.005917159763313609,338,625
emo,zero_shot,deepseek-8B,anger,joy,8,0.023668639053254437,338,625
emo,zero_shot,deepseek-8B,anger,sadness,21,0.0621301775147929,338,625
emo,zero_shot,deepseek-8B,anger,surprise,1,0.0029585798816568047,338,625
emo,zero_shot,deepseek-8B,disgust,anger,37,0.10946745562130178,338,625
emo,zero_shot,deepseek-8B,disgust,fear,15,0.04437869822485207,338,625
emo,zero_shot,deepseek-8B,disgust,joy,24,0.07100591715976332,338,625
emo,zero_shot,deepseek-8B,disgust,sadness,64,0.1893491124260355,338,625
emo,zero_shot,deepseek-8B,disgust,surprise,6,0.01775147928994083,338,625
emo,zero_shot,deepseek-8B,fear,anger,3,0.008875739644970414,338,625
emo,zero_shot,deepseek-8B,fear,disgust,5,0.014792899408284023,338,625
emo,zero_shot,deepseek-8B,fear,joy,4,0.011834319526627219,338,625
emo,zero_shot,deepseek-8B,fear,sadness,16,0.047337278106508875,338,625
emo,zero_shot,deepseek-8B,fear,surprise,1,0.0029585798816568047,338,625
emo,zero_shot,deepseek-8B,joy,anger,4,0.011834319526627219,338,625
emo,zero_shot,deepseek-8B,joy,disgust,2,0.005917159763313609,338,625
emo,zero_shot,deepseek-8B,joy,fear,2,0.005917159763313609,338,625
emo,zero_shot,deepseek-8B,joy,sadness,14,0.04142011834319527,338,625
emo,zero_shot,deepseek-8B,joy,surprise,1,0.0029585798816568047,338,625
emo,zero_shot,deepseek-8B,sadness,anger,9,0.026627218934911243,338,625
emo,zero_shot,deepseek-8B,sadness,disgust,1,0.0029585798816568047,338,625
emo,zero_shot,deepseek-8B,sadness,fear,11,0.03254437869822485,338,625
emo,zero_shot,deepseek-8B,sadness,joy,19,0.05621301775147929,338,625
emo,zero_shot,deepseek-8B,sadness,surprise,2,0.005917159763313609,338,625
emo,zero_shot,deepseek-8B,surprise,anger,4,0.011834319526627219,338,625
emo,zero_shot,deepseek-8B,surprise,disgust,5,0.014792899408284023,338,625
emo,zero_shot,deepseek-8B,surprise,fear,4,0.011834319526627219,338,625
emo,zero_shot,deepseek-8B,surprise,joy,20,0.05917159763313609,338,625
emo,zero_shot,deepseek-8B,surprise,sadness,21,0.0621301775147929,338,625
emo,zero_shot,phi4-14B,anger,disgust,2,0.00796812749003984,251,625
emo,zero_shot,phi4-14B,anger,fear,3,0.01195219123505976,251,625
emo,zero_shot,phi4-14B,anger,joy,1,0.00398406374501992,251,625
emo,zero_shot,phi4-14B,anger,sadness,3,0.01195219123505976,251,625
emo,zero_shot,phi4-14B,disgust,anger,91,0.36254980079681276,251,625
emo,zero_shot,phi4-14B,disgust,fear,7,0.027888446215139442,251,625
emo,zero_shot,phi4-14B,disgust,joy,1,0.00398406374501992,251,625
emo,zero_shot,phi4-14B,disgust,sadness,34,0.13545816733067728,251,625
emo,zero_shot,phi4-14B,disgust,surprise,8,0.03187250996015936,251,625
emo,zero_shot,phi4-14B,fear,anger,2,0.00796812749003984,251,625
emo,zero_shot,phi4-14B,fear,disgust,3,0.01195219123505976,251,625
emo,zero_shot,phi4-14B,fear,joy,1,0.00398406374501992,251,625
emo,zero_shot,phi4-14B,fear,sadness,10,0.0398406374501992,251,625
emo,zero_shot,phi4-14B,fear,surprise,2,0.00796812749003984,251,625
emo,zero_shot,phi4-14B,joy,anger,3,0.01195219123505976,251,625
emo,zero_shot,phi4-14B,joy,disgust,1,0.00398406374501992,251,625
emo,zero_shot,phi4-14B,joy,sadness,7,0.027888446215139442,251,625
emo,zero_shot,phi4-14B,joy,surprise,5,0.0199203187250996,251,625
emo,zero_shot,phi4-14B,sadness,anger,16,0.06374501992031872,251,625
emo,zero_shot,phi4-14B,sadness,disgust,4,0.01593625498007968,251,625
emo,zero_shot,phi4-14B,sadness,fear,9,0.035856573705179286,251,625
emo,zero_shot,phi4-14B,sadness,joy,3,0.01195219123505976,251,625
emo,zero_shot,phi4-14B,surprise,anger,8,0.03187250996015936,251,625
emo,zero_shot,phi4-14B,surprise,disgust,4,0.01593625498007968,251,625
emo,zero_shot,phi4-14B,surprise,fear,7,0.027888446215139442,251,625
emo,zero_shot,phi4-14B,surprise,joy,8,0.03187250996015936,251,625
emo,zero_shot,phi4-14B,surprise,sadness,8,0.03187250996015936,251,625
emo,zero_shot,gemma2-27B,anger,disgust,3,0.012552301255230125,239,625
emo,zero_shot,gemma2-27B,anger,surprise,3,0.012552301255230125,239,625
emo,zero_shot,gemma2-27B,disgust,anger,105,0.4393305439330544,239,625
emo,zero_shot,gemma2-27B,disgust,fear,8,0.03347280334728033,239,625
emo,zero_shot,gemma2-27B,disgust,joy,10,0.04184100418410042,239,625
emo,zero_shot,gemma2-27B,disgust,sadness,14,0.058577405857740586,239,625
emo,zero_shot,gemma2-27B,disgust,surprise,6,0.02510460251046025,239,625
emo,zero_shot,gemma2-27B,fear,anger,2,0.008368200836820083,239,625
emo,zero_shot,gemma2-27B,fear,disgust,2,0.008368200836820083,239,625
emo,zero_shot,gemma2-27B,fear,sadness,9,0.03765690376569038,239,625
emo,zero_shot,gemma2-27B,fear,surprise,2,0.008368200836820083,239,625
emo,zero_shot,gemma2-27B,joy,anger,2,0.008368200836820083,239,625
emo,zero_shot,gemma2-27B,joy,fear,1,0.0041841004184100415,239,625
emo,zero_shot,gemma2-27B,joy,sadness,1,0.0041841004184100415,239,625
emo,zero_shot,gemma2-27B,joy,surprise,4,0.016736401673640166,239,625
emo,zero_shot,gemma2-27B,sadness,anger,13,0.05439330543933055,239,625
emo,zero_shot,gemma2-27B,sadness,disgust,5,0.02092050209205021,239,625
emo,zero_shot,gemma2-27B,sadness,fear,11,0.04602510460251046,239,625
emo,zero_shot,gemma2-27B,sadness,joy,9,0.03765690376569038,239,625
emo,zero_shot,gemma2-27B,sadness,surprise,1,0.0041841004184100415,239,625
emo,zero_shot,gemma2-27B,surprise,anger,7,0.029288702928870293,239,625
emo,zero_shot,gemma2-27B,surprise,fear,5,0.02092050209205021,239,625
emo,zero_shot,gemma2-27B,surprise,joy,11,0.04602510460251046,239,625
emo,zero_shot,gemma2-27B,surprise,sadness,5,0.02092050209205021,239,625
emo,zero_shot,qwen-72B,anger,disgust,8,0.03347280334728033,239,625
emo,zero_shot,qwen-72B,anger,joy,2,0.008368200836820083,239,625
emo,zero_shot,qwen-72B,anger,sadness,3,0.012552301255230125,239,625
emo,zero_shot,qwen-72B,anger,surprise,1,0.0041841004184100415,239,625
emo,zero_shot,qwen-72B,disgust,anger,78,0.3263598326359833,239,625
emo,zero_shot,qwen-72B,disgust,fear,2,0.008368200836820083,239,625
emo,zero_shot,qwen-72B,disgust,joy,12,0.0502092050209205,239,625
emo,zero_shot,qwen-72B,disgust,sadness,39,0.16317991631799164,239,625
emo,zero_shot,qwen-72B,fear,anger,4,0.016736401673640166,239,625
emo,zero_shot,qwen-72B,fear,disgust,7,0.029288702928870293,239,625
emo,zero_shot,qwen-72B,fear,joy,2,0.008368200836820083,239,625
emo,zero_shot,qwen-72B,fear,sadness,9,0.03765690376569038,239,625
emo,zero_shot,qwen-72B,fear,surprise,2,0.008368200836820083,239,625
emo,zero_shot,qwen-72B,joy,anger,3,0.012552301255230125,239,625
emo,zero_shot,qwen-72B,joy,fear,1,0.0041841004184100415,239,625
emo,zero_shot,qwen-72B,joy,sadness,6,0.02510460251046025,239,625
emo,zero_shot,qwen-72B,joy,surprise,1,0.0041841004184100415,239,625
emo,zero_shot,qwen-72B,sadness,anger,10,0.04184100418410042,239,625
emo,zero_shot,qwen-72B,sadness,disgust,2,0.008368200836820083,239,625
emo,zero_shot,qwen-72B,sadness,fear,6,0.02510460251046025,239,625
emo,zero_shot,qwen-72B,sadness,joy,4,0.016736401673640166,239,625
emo,zero_shot,qwen-72B,surprise,anger,4,0.016736401673640166,239,625
emo,zero_shot,qwen-72B,surprise,disgust,1,0.0041841004184100415,239,625
emo,zero_shot,qwen-72B,surprise,fear,4,0.016736401673640166,239,625
emo,zero_shot,qwen-72B,surprise,joy,10,0.04184100418410042,239,625
emo,zero_shot,qwen-72B,surprise,sadness,18,0.07531380753138076,239,625
emo,few_shot,llama32-3B,anger,disgust,44,0.13213213213213212,333,625
emo,few_shot,llama32-3B,anger,fear,1,0.003003003003003003,333,625
emo,few_shot,llama32-3B,disgust,anger,34,0.1021021021021021,333,625
emo,few_shot,llama32-3B,disgust,joy,1,0.003003003003003003,333,625
emo,few_shot,llama32-3B,disgust,sadness,4,0.012012012012012012,333,625
emo,few_shot,llama32-3B,disgust,surprise,3,0.009009009009009009,333,625
emo,few_shot,llama32-3B,fear,anger,2,0.006006006006006006,333,625
emo,few_shot,llama32-3B,fear,disgust,47,0.14114114114114115,333,625
emo,few_shot,llama32-3B,fear,surprise,1,0.003003003003003003,333,625
emo,few_shot,llama32-3B,joy,anger,1,0.003003003003003003,333,625
emo,few_shot,llama32-3B,joy,disgust,36,0.10810810810810811,333,625
emo,few_shot,llama32-3B,joy,sadness,4,0.012012012012012012,333,625
emo,few_shot,llama32-3B,joy,surprise,8,0.024024024024024024,333,625
emo,few_shot,llama32-3B,sadness,anger,5,0.015015015015015015,333,625
emo,few_shot,llama32-3B,sadness,disgust,85,0.2552552552552553,333,625
emo,few_shot,llama32-3B,sadness,fear,1,0.003003003003003003,333,625
emo,few_shot,llama32-3B,sadness,joy,1,0.003003003003003003,333,625
emo,few_shot,llama32-3B,surprise,anger,4,0.012012012012012012,333,625
emo,few_shot,llama32-3B,surprise,disgust,48,0.14414414414414414,333,625
emo,few_shot,llama32-3B,surprise,fear,1,0.003003003003003003,333,625
emo,few_shot,llama32-3B,surprise,sadness,2,0.006006006006006006,333,625
emo,few_shot,mistral-7B,anger,disgust,32,0.09523809523809523,336,625
emo,few_shot,mistral-7B,anger,fear,1,0.002976190476190476,336,625
emo,few_shot,mistral-7B,anger,sadness,2,0.005952380952380952,336,625
emo,few_shot,mistral-7B,disgust,anger,48,0.14285714285714285,336,625
emo,few_shot,mistral-7B,disgust,fear,3,0.008928571428571428,336,625
emo,few_shot,mistral-7B,disgust,joy,1,0.002976190476190476,336,625
emo,few_shot,mistral-7B,disgust,sadness,10,0.02976190476190476,336,625
emo,few_shot,mistral-7B,disgust,surprise,2,0.005952380952380952,336,625
emo,few_shot,mistral-7B,fear,anger,7,0.020833333333333332,336,625
emo,few_shot,mistral-7B,fear,disgust,20,0.05952380952380952,336,625
emo,few_shot,mistral-7B,fear,sadness,11,0.03273809523809524,336,625
emo,few_shot,mistral-7B,fear,surprise,1,0.002976190476190476,336,625
emo,few_shot,mistral-7B,joy,anger,10,0.02976190476190476,336,625
emo,few_shot,mistral-7B,joy,disgust,40,0.11904761904761904,336,625
emo,few_shot,mistral-7B,joy,fear,1,0.002976190476190476,336,625
emo,few_shot,mistral-7B,joy,sadness,12,0.03571428571428571,336,625
emo,few_shot,mistral-7B,sadness,anger,13,0.03869047619047619,336,625
emo,few_shot,mistral-7B,sadness,disgust,51,0.15178571428571427,336,625
emo,few_shot,mistral-7B,sadness,fear,8,0.023809523809523808,336,625
emo,few_shot,mistral-7B,surprise,anger,6,0.017857142857142856,336,625
emo,few_shot,mistral-7B,surprise,disgust,36,0.10714285714285714,336,625
emo,few_shot,mistral-7B,surprise,fear,7,0.020833333333333332,336,625
emo,few_shot,mistral-7B,surprise,joy,2,0.005952380952380952,336,625
emo,few_shot,mistral-7B,surprise,sadness,12,0.03571428571428571,336,625
emo,few_shot,deepseek-8B,anger,disgust,11,0.03293413173652695,334,625
emo,few_shot,deepseek-8B,anger,fear,4,0.011976047904191617,334,625
emo,few_shot,deepseek-8B,anger,joy,4,0.011976047904191617,334,625
emo,few_shot,deepseek-8B,anger,sadness,7,0.020958083832335328,334,625
emo,few_shot,deepseek-8B,anger,surprise,5,0.014970059880239521,334,625
emo,few_shot,deepseek-8B,disgust,anger,51,0.15269461077844312,334,625
emo,few_shot,deepseek-8B,disgust,fear,18,0.05389221556886228,334,625
emo,few_shot,deepseek-8B,disgust,joy,17,0.05089820359281437,334,625
emo,few_shot,deepseek-8B,disgust,sadness,38,0.11377245508982035,334,625
emo,few_shot,deepseek-8B,disgust,surprise,23,0.0688622754491018,334,625
emo,few_shot,deepseek-8B,fear,anger,3,0.008982035928143712,334,625
emo,few_shot,deepseek-8B,fear,disgust,3,0.008982035928143712,334,625
emo,few_shot,deepseek-8B,fear,joy,3,0.008982035928143712,334,625
emo,few_shot,deepseek-8B,fear,sadness,7,0.020958083832335328,334,625
emo,few_shot,deepseek-8B,fear,surprise,5,0.014970059880239521,334,625
emo,few_shot,deepseek-8B,joy,anger,10,0.029940119760479042,334,625
emo,few_shot,deepseek-8B,joy,disgust,1,0.0029940119760479044,334,625
emo,few_shot,deepseek-8B,joy,fear,3,0.008982035928143712,334,625
emo,few_shot,deepseek-8B,joy,sadness,12,0.03592814371257485,334,625
emo,few_shot,deepseek-8B,joy,surprise,4,0.011976047904191617,334,625
emo,few_shot,deepseek-8B,sadness,anger,18,0.05389221556886228,334,625
emo,few_shot,deepseek-8B,sadness,disgust,11,0.03293413173652695,334,625
emo,few_shot,deepseek-8B,sadness,fear,16,0.04790419161676647,334,625
emo,few_shot,deepseek-8B,sadness,joy,8,0.023952095808383235,334,625
emo,few_shot,deepseek-8B,sadness,surprise,9,0.02694610778443114,334,625
emo,few_shot,deepseek-8B,surprise,anger,6,0.017964071856287425,334,625
emo,few_shot,deepseek-8B,surprise,disgust,3,0.008982035928143712,334,625
emo,few_shot,deepseek-8B,surprise,fear,12,0.03592814371257485,334,625
emo,few_shot,deepseek-8B,surprise,joy,12,0.03592814371257485,334,625
emo,few_shot,deepseek-8B,surprise,sadness,10,0.029940119760479042,334,625
emo,few_shot,phi4-14B,anger,disgust,4,0.014545454545454545,275,625
emo,few_shot,phi4-14B,anger,fear,1,0.0036363636363636364,275,625
emo,few_shot,phi4-14B,anger,sadness,2,0.007272727272727273,275,625
emo,few_shot,phi4-14B,disgust,anger,129,0.4690909090909091,275,625
emo,few_shot,phi4-14B,disgust,joy,1,0.0036363636363636364,275,625
emo,few_shot,phi4-14B,disgust,sadness,17,0.06181818181818182,275,625
emo,few_shot,phi4-14B,disgust,surprise,3,0.01090909090909091,275,625
emo,few_shot,phi4-14B,fear,anger,6,0.02181818181818182,275,625
emo,few_shot,phi4-14B,fear,disgust,5,0.01818181818181818,275,625
emo,few_shot,phi4-14B,fear,joy,1,0.0036363636363636364,275,625
emo,few_shot,phi4-14B,fear,sadness,10,0.03636363636363636,275,625
emo,few_shot,phi4-14B,fear,surprise,3,0.01090909090909091,275,625
emo,few_shot,phi4-14B,joy,anger,10,0.03636363636363636,275,625
emo,few_shot,phi4-14B,joy,disgust,2,0.007272727272727273,275,625
emo,few_shot,phi4-14B,joy,sadness,5,0.01818181818181818,275,625
emo,few_shot,phi4-14B,joy,surprise,4,0.014545454545454545,275,625
emo,few_shot,phi4-14B,sadness,anger,27,0.09818181818181818,275,625
emo,few_shot,phi4-14B,sadness,disgust,3,0.01090909090909091,275,625
emo,few_shot,phi4-14B,sadness,fear,4,0.014545454545454545,275,625
emo,few_shot,phi4-14B,sadness,joy,2,0.007272727272727273,275,625
emo,few_shot,phi4-14B,surprise,anger,15,0.05454545454545454,275,625
emo,few_shot,phi4-14B,surprise,disgust,3,0.01090909090909091,275,625
emo,few_shot,phi4-14B,surprise,fear,5,0.01818181818181818,275,625
emo,few_shot,phi4-14B,surprise,joy,7,0.025454545454545455,275,625
emo,few_shot,phi4-14B,surprise,sadness,6,0.02181818181818182,275,625
emo,few_shot,gemma2-27B,anger,disgust,3,0.012345679012345678,243,625
emo,few_shot,gemma2-27B,anger,surprise,2,0.00823045267489712,243,625
emo,few_shot,gemma2-27B,disgust,anger,119,0.4897119341563786,243,625
emo,few_shot,gemma2-27B,disgust,fear,1,0.00411522633744856,243,625
emo,few_shot,gemma2-27B,disgust,joy,5,0.0205761316872428,243,625
emo,few_shot,gemma2-27B,disgust,sadness,8,0.03292181069958848,243,625
emo,few_shot,gemma2-27B,disgust,surprise,6,0.024691358024691357,243,625
emo,few_shot,gemma2-27B,fear,anger,10,0.0411522633744856,243,625
emo,few_shot,gemma2-27B,fear,disgust,4,0.01646090534979424,243,625
emo,few_shot,gemma2-27B,fear,sadness,7,0.02880658436213992,243,625
emo,few_shot,gemma2-27B,fear,surprise,3,0.012345679012345678,243,625
emo,few_shot,gemma2-27B,joy,anger,4,0.01646090534979424,243,625
emo,few_shot,gemma2-27B,joy,disgust,1,0.00411522633744856,243,625
emo,few_shot,gemma2-27B,joy,sadness,2,0.00823045267489712,243,625
emo,few_shot,gemma2-27B,joy,surprise,7,0.02880658436213992,243,625
emo,few_shot,gemma2-27B,sadness,anger,22,0.09053497942386832,243,625
emo,few_shot,gemma2-27B,sadness,disgust,6,0.024691358024691357,243,625
emo,few_shot,gemma2-27B,sadness,fear,3,0.012345679012345678,243,625
emo,few_shot,gemma2-27B,sadness,joy,3,0.012345679012345678,243,625
emo,few_shot,gemma2-27B,sadness,surprise,2,0.00823045267489712,243,625
emo,few_shot,gemma2-27B,surprise,anger,12,0.04938271604938271,243,625
emo,few_shot,gemma2-27B,surprise,fear,4,0.01646090534979424,243,625
emo,few_shot,gemma2-27B,surprise,joy,6,0.024691358024691357,243,625
emo,few_shot,gemma2-27B,surprise,sadness,3,0.012345679012345678,243,625
emo,few_shot,qwen-72B,anger,disgust,16,0.07476635514018691,214,625
emo,few_shot,qwen-72B,anger,sadness,1,0.004672897196261682,214,625
emo,few_shot,qwen-72B,anger,surprise,2,0.009345794392523364,214,625
emo,few_shot,qwen-72B,disgust,anger,74,0.34579439252336447,214,625
emo,few_shot,qwen-72B,disgust,fear,1,0.004672897196261682,214,625
emo,few_shot,qwen-72B,disgust,joy,5,0.02336448598130841,214,625
emo,few_shot,qwen-72B,disgust,sadness,20,0.09345794392523364,214,625
emo,few_shot,qwen-72B,disgust,surprise,6,0.028037383177570093,214,625
