Dataset,Setting,Model_A,Model_B,Acc_A,Acc_B,A_right_B_wrong,A_wrong_B_right,p_raw,p_holm,significant_holm_0.05
Emotion,zero_shot,llama32-3B,phi4-14B,0.4624,0.5984,43,128,5.3002595578101185e-11,3.710181690467083e-10,True
Emotion,zero_shot,llama32-3B,gemma2-27B,0.4624,0.6176,39,136,8.751982163963845e-14,7.876783947567461e-13,True
Emotion,zero_shot,llama32-3B,qwen-72B,0.4624,0.6176,38,135,6.054298791586275e-14,6.054298791586275e-13,True
Emotion,zero_shot,mistral-7B,deepseek-8B,0.3696,0.4592,77,133,0.00013559603920381203,0.0006779801960190602,True
Emotion,zero_shot,mistral-7B,phi4-14B,0.3696,0.5984,19,162,1.7937043283338353e-29,2.331815626833986e-28,True
Emotion,zero_shot,mistral-7B,gemma2-27B,0.3696,0.6176,22,177,2.8417872961138626e-31,4.262680944170794e-30,True
Emotion,zero_shot,mistral-7B,qwen-72B,0.3696,0.6176,25,180,3.9322240730995364e-30,5.505113702339351e-29,True
Emotion,zero_shot,deepseek-8B,phi4-14B,0.4592,0.5984,37,124,3.538055305122546e-12,2.8304442440980367e-11,True
Emotion,zero_shot,deepseek-8B,gemma2-27B,0.4592,0.6176,34,133,4.885844997915117e-15,5.86301399749814e-14,True
Emotion,zero_shot,deepseek-8B,qwen-72B,0.4592,0.6176,36,135,1.1219334241242475e-14,1.2341267665366724e-13,True
Emotion,zero_shot,phi4-14B,gemma2-27B,0.5984,0.6176,36,48,0.2298644069691203,0.9194576278764812,False
Emotion,zero_shot,phi4-14B,qwen-72B,0.5984,0.6176,48,60,0.2897982154050607,0.9194576278764812,False
Emotion,zero_shot,gemma2-27B,qwen-72B,0.6176,0.6176,47,47,1.0,1.0,False
Emotion,few_shot,llama32-3B,mistral-7B,0.4672,0.4624,77,74,0.8707787409560849,1.0,False
Emotion,few_shot,llama32-3B,deepseek-8B,0.4672,0.4656,137,136,1.0,1.0,False
Emotion,few_shot,llama32-3B,phi4-14B,0.4672,0.56,115,173,0.0007547094698850843,0.004528256819310506,True
Emotion,few_shot,llama32-3B,gemma2-27B,0.4672,0.6112,105,195,2.2683447689318966e-07,2.0415102920387068e-06,True
Emotion,few_shot,llama32-3B,qwen-72B,0.4672,0.6576,77,196,3.9046064446920457e-13,5.075988378099659e-12,True
Emotion,few_shot,mistral-7B,deepseek-8B,0.4624,0.4656,127,129,0.9501808900638601,1.0,False
Emotion,few_shot,mistral-7B,phi4-14B,0.4624,0.56,102,163,0.00021506188797406662,0.0015054332158184664,True
Emotion,few_shot,mistral-7B,gemma2-27B,0.4624,0.6112,97,190,4.319269170343124e-08,4.7511960873774366e-07,True
Emotion,few_shot,mistral-7B,qwen-72B,0.4624,0.6576,71,193,3.3008673348321497e-14,4.62121426876501e-13,True
Emotion,few_shot,deepseek-8B,phi4-14B,0.4656,0.56,56,115,7.551730187471919e-06,6.041384149977535e-05,True
Emotion,few_shot,deepseek-8B,gemma2-27B,0.4656,0.6112,47,138,1.4099066704918662e-11,1.6918880045902394e-10,True
Emotion,few_shot,deepseek-8B,qwen-72B,0.4656,0.6576,41,161,5.235505707529686e-18,7.853258561294529e-17,True
Emotion,few_shot,phi4-14B,gemma2-27B,0.56,0.6112,28,60,0.000846496085616675,0.004528256819310506,True
Emotion,few_shot,phi4-14B,qwen-72B,0.56,0.6576,33,94,5.686281754638146e-08,5.686281754638146e-07,True
Emotion,few_shot,gemma2-27B,qwen-72B,0.6112,0.6576,37,66,0.0055358991041924,0.0221435964167696,True
Hate Speech,zero_shot,llama32-3B,mistral-7B,0.571,0.647,92,168,2.8266422626224116e-06,1.4133211313112059e-05,True
Hate Speech,zero_shot,llama32-3B,deepseek-8B,0.571,0.597,123,149,0.1294055426560335,0.1294055426560335,False
Hate Speech,zero_shot,llama32-3B,phi4-14B,0.571,0.725,76,230,3.7228385062512807e-19,4.095122356876409e-18,True
Hate Speech,zero_shot,llama32-3B,gemma2-27B,0.571,0.765,110,304,4.031907033434735e-22,5.241479143465155e-21,True
Hate Speech,zero_shot,llama32-3B,qwen-72B,0.571,0.799,72,300,3.4038037132433936e-34,5.10570556986509e-33,True
Hate Speech,zero_shot,mistral-7B,deepseek-8B,0.647,0.597,193,143,0.007422389087167471,0.022267167261502414,True
Hate Speech,zero_shot,mistral-7B,phi4-14B,0.647,0.725,92,170,1.6605823812650184e-06,9.96349428759011e-06,True
Hate Speech,zero_shot,mistral-7B,gemma2-27B,0.647,0.765,100,218,3.198626872615138e-11,2.5589014980921103e-10,True
Hate Speech,zero_shot,mistral-7B,qwen-72B,0.647,0.799,70,222,1.3935582453843036e-19,1.6722698944611645e-18,True
Hate Speech,zero_shot,deepseek-8B,phi4-14B,0.597,0.725,92,220,3.0160686150402347e-13,2.714461753536211e-12,True
Hate Speech,zero_shot,deepseek-8B,gemma2-27B,0.597,0.765,138,306,1.0363705253396332e-15,1.0363705253396333e-14,True
Hate Speech,zero_shot,deepseek-8B,qwen-72B,0.597,0.799,96,298,3.4923622460783194e-25,4.8893071445096474e-24,True
Hate Speech,zero_shot,phi4-14B,gemma2-27B,0.725,0.765,107,147,0.014241467383814608,0.028482934767629215,True
Hate Speech,zero_shot,phi4-14B,qwen-72B,0.725,0.799,66,140,2.750292921971218e-07,1.9252050453798526e-06,True
Hate Speech,zero_shot,gemma2-27B,qwen-72B,0.765,0.799,53,87,0.005102556809829761,0.020410227239319043,True
Hate Speech,few_shot,llama32-3B,mistral-7B,0.644,0.631,150,137,0.47879990297876,1.0,False
Hate Speech,few_shot,llama32-3B,deepseek-8B,0.644,0.623,227,206,0.33648982658692356,1.0,False
Hate Speech,few_shot,llama32-3B,phi4-14B,0.644,0.71,74,140,7.57442125909953e-06,5.302094881369671e-05,True
Hate Speech,few_shot,llama32-3B,gemma2-27B,0.644,0.743,32,131,2.0226109201259765e-15,2.4271331041511717e-14,True
Hate Speech,few_shot,llama32-3B,qwen-72B,0.644,0.784,49,189,1.3920074674677878e-20,1.948810454454903e-19,True
Hate Speech,few_shot,mistral-7B,deepseek-8B,0.631,0.623,182,174,0.7106941288718209,1.0,False
Hate Speech,few_shot,mistral-7B,phi4-14B,0.631,0.71,91,170,1.152499528119304e-06,9.219996224954431e-06,True
Hate Speech,few_shot,mistral-7B,gemma2-27B,0.631,0.743,93,205,7.691383944032121e-11,8.460522338435334e-10,True
Hate Speech,few_shot,mistral-7B,qwen-72B,0.631,0.784,58,211,1.360432934912111e-21,2.0406494023681666e-20,True
Hate Speech,few_shot,deepseek-8B,phi4-14B,0.623,0.71,147,234,9.68936476594456e-06,5.8136188595667356e-05,True
Hate Speech,few_shot,deepseek-8B,gemma2-27B,0.623,0.743,148,268,4.247296039317191e-09,4.247296039317191e-08,True
Hate Speech,few_shot,deepseek-8B,qwen-72B,0.623,0.784,107,268,4.666196254310139e-17,6.066055130603181e-16,True
Hate Speech,few_shot,phi4-14B,gemma2-27B,0.71,0.743,61,94,0.009932668383371975,0.0397306735334879,True
Hate Speech,few_shot,phi4-14B,qwen-72B,0.71,0.784,44,118,5.307261324522183e-09,4.776535192069965e-08,True
Hate Speech,few_shot,gemma2-27B,qwen-72B,0.743,0.784,53,94,0.0009061930268517308,0.004530965134258654,True
Fake News,zero_shot,llama32-3B,mistral-7B,0.7775590551181102,0.6161417322834646,134,52,1.5667692776056472e-09,1.8801231331267765e-08,True
Fake News,zero_shot,llama32-3B,deepseek-8B,0.7775590551181102,0.7244094488188977,87,60,0.03164540941802103,0.1265816376720841,False
Fake News,zero_shot,llama32-3B,phi4-14B,0.7775590551181102,0.7736220472440944,63,61,0.9284921641248501,0.9597753233966557,False
Fake News,zero_shot,llama32-3B,gemma2-27B,0.7775590551181102,0.844488188976378,42,76,0.002242665051735884,0.013455990310415302,True
Fake News,zero_shot,llama32-3B,qwen-72B,0.7775590551181102,0.8326771653543307,41,69,0.009722194039418848,0.04861097019709424,True
Fake News,zero_shot,mistral-7B,deepseek-8B,0.6161417322834646,0.7244094488188977,72,127,0.00011790194533226107,0.0009432155626580886,True
Fake News,zero_shot,mistral-7B,phi4-14B,0.6161417322834646,0.7736220472440944,31,111,9.170379890439553e-12,1.192149385757142e-10,True
Fake News,zero_shot,mistral-7B,gemma2-27B,0.6161417322834646,0.844488188976378,22,138,9.84011230292701e-22,1.3776157224097814e-20,True
Fake News,zero_shot,mistral-7B,qwen-72B,0.6161417322834646,0.8326771653543307,13,123,1.239372500768143e-23,1.8590587511522144e-22,True
Fake News,zero_shot,deepseek-8B,phi4-14B,0.7244094488188977,0.7736220472440944,58,83,0.04287961522740877,0.1286388456822263,False
Fake News,zero_shot,deepseek-8B,gemma2-27B,0.7244094488188977,0.844488188976378,42,103,4.2905018827335663e-07,4.719552071006923e-06,True
Fake News,zero_shot,deepseek-8B,qwen-72B,0.7244094488188977,0.8326771653543307,40,95,2.47226510297953e-06,2.4722651029795298e-05,True
Fake News,zero_shot,phi4-14B,gemma2-27B,0.7736220472440944,0.844488188976378,18,54,2.568720337924735e-05,0.00023118483041322614,True
Fake News,zero_shot,phi4-14B,qwen-72B,0.7736220472440944,0.8326771653543307,16,46,0.00017632711255144299,0.001234289787860101,True
Fake News,zero_shot,gemma2-27B,qwen-72B,0.844488188976378,0.8326771653543307,28,22,0.47988766169832786,0.9597753233966557,False
Fake News,few_shot,llama32-3B,mistral-7B,0.6929133858267716,0.6358267716535433,56,27,0.0019314374822250477,0.011588624893350287,True
Fake News,few_shot,llama32-3B,deepseek-8B,0.6929133858267716,0.6732283464566929,65,55,0.4114232202639375,0.822846440527875,False
Fake News,few_shot,llama32-3B,phi4-14B,0.6929133858267716,0.8169291338582677,30,93,1.0837914423674379e-08,7.586540096572065e-08,True
Fake News,few_shot,llama32-3B,gemma2-27B,0.6929133858267716,0.844488188976378,20,97,2.5558679651606525e-13,2.3002811686445874e-12,True
Fake News,few_shot,llama32-3B,qwen-72B,0.6929133858267716,0.8405511811023622,15,90,3.276492294212061e-14,3.604141523633267e-13,True
Fake News,few_shot,mistral-7B,deepseek-8B,0.6358267716535433,0.6732283464566929,65,84,0.14005540740614833,0.5602216296245933,False
Fake News,few_shot,mistral-7B,phi4-14B,0.6358267716535433,0.8169291338582677,23,115,6.529423138028675e-16,8.488250079437277e-15,True
Fake News,few_shot,mistral-7B,gemma2-27B,0.6358267716535433,0.844488188976378,17,123,5.173180589404356e-21,7.242452825166098e-20,True
Fake News,few_shot,mistral-7B,qwen-72B,0.6358267716535433,0.8405511811023622,15,119,2.8651216342875742e-21,4.2976824514313616e-20,True
Fake News,few_shot,deepseek-8B,phi4-14B,0.6732283464566929,0.8169291338582677,34,107,5.447167391561191e-10,4.357733913248953e-09,True
Fake News,few_shot,deepseek-8B,gemma2-27B,0.6732283464566929,0.844488188976378,28,115,1.0175030216066738e-13,1.0175030216066739e-12,True
Fake News,few_shot,deepseek-8B,qwen-72B,0.6732283464566929,0.8405511811023622,21,106,7.499196212870584e-15,8.9990354554447e-14,True
Fake News,few_shot,phi4-14B,gemma2-27B,0.8169291338582677,0.844488188976378,20,34,0.0759047294891014,0.37952364744550704,False
Fake News,few_shot,phi4-14B,qwen-72B,0.8169291338582677,0.8405511811023622,23,35,0.14800580076020603,0.5602216296245933,False
Fake News,few_shot,gemma2-27B,qwen-72B,0.844488188976378,0.8405511811023622,22,20,0.8776143287523154,0.8776143287523154,False
